Label,Furniture_Type,Image_File
piyestra glass coffee tabel ,Sofa / living room item,/furniture_images/1634011857519_Piyestra Glass Coffee Tabel for sale.jpg
new l/rack 4x2 l study table ,Table / chair,/furniture_images/1634011857692_New LRack 4x2 L Study Table for sale.jpg
new arrive l sofa set 8 x8 -nas-016 ,Sofa / living room item,/furniture_images/1634011857884_New Arrive L sofa set 8 x8 NAS016 for sale.jpg
brand new 4x2 ezy tables ,Table / chair,/furniture_images/1634011858147_Brand New 4x2 Ezy Tables for sale.jpg
new arrive sofa set -3+2+1 -nas-017 ,Sofa / living room item,/furniture_images/1634011858311_New Arrive Sofa set 321 NAS017 for sale.jpg
piyestea cashier high chair(armless) ,Table / chair,/furniture_images/1634011858504_Piyestea Cashier High ChairArmless for sale.jpg
piyestra 3d dark classic wardrobe ,Bed / bedroom item,/furniture_images/1634011858734_Piyestra 3D Dark Classic Wardrobe for sale.jpg
new arrive sofa set 3+1+1 -nas-015 ,Sofa / living room item,/furniture_images/1634011858910_New Arrive Sofa set 311 NAS015 for sale.jpg
piyestra amazing 3d wardrobe ,Bed / bedroom item,/furniture_images/1634011859085_Piyestra Amazing 3D Wardrobe for sale.jpg
new arrive sofa set 3+1+1 - nas-014 ,Sofa / living room item,/furniture_images/1634011859288_New Arrive sofa set 311  NAS014 for sale.jpg
new arrive sofa set 3+1+1 -nas-013 ,Sofa / living room item,/furniture_images/1634011859449_New Arrive sofa set 311 NAS013 for sale.jpg
spring mattress ,Bed / bedroom item,/furniture_images/1634011859654_Spring Mattress for sale.jpg
imported round glass table ,Table / chair,/furniture_images/1634011859840_Imported Round Glass Table for sale.jpg
new arrive sofa set 3+1+1 -nas-102 ,Sofa / living room item,/furniture_images/1634011859974_New Arrive sofa set 311 NAS102 for sale.jpg
à¶­à¶§à·à¶§à· à¶¯à·à¶à· à¶à¶¯à¶±à· ,Bed / bedroom item,/furniture_images/1634011860134_à¶­à¶§à·à¶§à· à¶¯à·à¶à· à¶à¶¯à¶±à· for sale.jpg
table 3*2 ,Table / chair,/furniture_images/1634011860322_Table 32 for sale.jpg
new 36x18â writting table ,Table / chair,/furniture_images/1634011860499_New 36x18â Writting Table for sale.jpg
two sofa set ,Sofa / living room item,/furniture_images/1634011895232_Two Sofa Set for sale.jpg
double layer 6*3 mattress ,Bed / bedroom item,/furniture_images/1634011895581_Double layer 63 Mattress for sale.jpg
nilkamal 4 chairs with round table ,Table / chair,/furniture_images/1634011895748_Nilkamal 4 Chairs With Round Table for sale.jpg
3x2 office table - new 012 ,Table / chair,/furniture_images/1634011895941_3x2 Office Table  New 012 for sale.jpg
new office table melamine 4x2 ,Table / chair,/furniture_images/1634011896091_New Office table melamine 4x2 for sale.jpg
actoniya beds 6*3 ,Bed / bedroom item,/furniture_images/1634011896272_Actoniya beds 63 for sale.jpg
modern melamine dressing table code 3071 ,Bed / bedroom item,/furniture_images/1634011896464_modern melamine dressing table code 3071 for sale.jpg
adjustable h/b office chair- new ,Table / chair,/furniture_images/1634011896724_Adjustable Hb Office Chair New for sale.jpg
6x5 ft spring matterss and box bed code 3070 ,Bed / bedroom item,/furniture_images/1634011896912_6x5 ft spring matterss and box bed code 3070 for sale.jpg
executive high back office chairs ,Table / chair,/furniture_images/1634011897105_Executive High Back Office Chairs for sale.jpg
"teak box beds with piyestra spring mattress 72x72"" ",Bed / bedroom item,/furniture_images/1634011897275_Teak Box Beds With Piyestra Spring Mattress 72x72 for sale.jpg
2 doors melamine cupboard 6x3 ft code 3061 ,Bed / bedroom item,/furniture_images/1634011897489_2 doors melamine cupboard 6x3 ft code 3061 for sale.jpg
"72x48"" box bed with arpico spring mattress ",Bed / bedroom item,/furniture_images/1634011897654_72x48 Box Bed With Arpico spring Mattress for sale.jpg
teak box beds with arpico spring mattress 6x5' ,Bed / bedroom item,/furniture_images/1634011897825_Teak box beds with Arpico spring mattress 6x5 for sale.jpg
super teak new arch shep bed ,Bed / bedroom item,/furniture_images/1634011898011_Super Teak New Arch Shep Bed for sale.jpg
modern teak box bed with mattress 6x6' ,Bed / bedroom item,/furniture_images/1634011898159_Modern Teak box bed with mattress 6x6 for sale.jpg
piyestra premium office cupboards ,Storage,/furniture_images/1634011898379_Piyestra Premium Office Cupboards for sale.jpg
high back office chair - hb-101 ,Table / chair,/furniture_images/1634011898575_High Back Office Chair  HB101 for sale.jpg
super teak wood arch bed with king star double layer mattresses ,Bed / bedroom item,/furniture_images/1634011898948_Super Teak Wood Arch Bed With King Star Double Layer Mattresses for sale.jpg
imported uncommon display rack ,Sofa / living room item,/furniture_images/1634011899288_Imported Uncommon Display Rack for sale.jpg
image new rk computer table ,Table / chair,/furniture_images/1634011899513_Image New Rk Computer Table for sale.jpg
piyestra 4d multi premium cupboards ,Sofa / living room item,/furniture_images/1634011899675_Piyestra 4D Multi Premium Cupboards for sale.jpg
modern melamine tv stand code 3075 ,Table / chair,/furniture_images/1634011899890_modern melamine tv stand code 3075 for sale.jpg
office executive chair- h-0823 ,Table / chair,/furniture_images/1634011900080_Office Executive Chair H0823 for sale.jpg
new 4x2 d/drawer office tabel ,Table / chair,/furniture_images/1634011900255_New 4x2 DDrawer Office Tabel for sale.jpg
wardrobe - teak color ,Bed / bedroom item,/furniture_images/1634011933861_WARDROBE  TEAK COLOR for sale.jpg
steel bed ,Bed / bedroom item,/furniture_images/1634011934026_Steel Bed for sale.jpg
teak box bed 6x6' without mattress ,Bed / bedroom item,/furniture_images/1634011934188_Teak box bed 6x6 without mattress for sale.jpg
teak table with 4 chairs ,Table / chair,/furniture_images/1634011934431_Teak Table with 4 Chairs for sale.jpg
teak dinning table 8 seats ,Sofa / living room item,/furniture_images/1634011934603_Teak Dinning Table 8 Seats for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011934758_Tv Stand for sale.jpg
portable 8 door storage wardrobe ,Storage,/furniture_images/1634011934918_Portable 8 Door Storage Wardrobe for sale.jpg
teak table ,Table / chair,/furniture_images/1634011935076_Teak Table for sale.jpg
6x4 ft bed/mattress and pillow bed rooms pakege code 3059 ,Bed / bedroom item,/furniture_images/1634011935222_6x4 ft bedmattress and pillow bed rooms pakege code 3059 for sale.jpg
actonia bed 6x4 ft double code 3058 ,Bed / bedroom item,/furniture_images/1634011935400_actonia bed 6x4 ft double code 3058 for sale.jpg
teakwood dressing table code 3057 ,Bed / bedroom item,/furniture_images/1634011935557_teakwood dressing table code 3057 for sale.jpg
neo almari glass 2d 15 bord code 3056 ,Bed / bedroom item,/furniture_images/1634011935745_neo almari glass 2D 15 bord code 3056 for sale.jpg
1st quality teakwood sofa set code 3055 ,Sofa / living room item,/furniture_images/1634011935925_1st quality teakwood sofa set code 3055 for sale.jpg
no1 quality teakwood sofa set code 3054 ,Sofa / living room item,/furniture_images/1634011936116_no1 quality teakwood sofa set code 3054 for sale.jpg
n1 piyestra original cupboard code 3052 ,Bed / bedroom item,/furniture_images/1634011936303_n1 piyestra original cupboard code 3052 for sale.jpg
6x3 ft underlocker 2 melamine cupboard code 3051 ,Bed / bedroom item,/furniture_images/1634011936490_6x3 ft underlocker 2 melamine cupboard code 3051 for sale.jpg
6x3 ft melamine cupboard (fully doors) code 3050 ,Bed / bedroom item,/furniture_images/1634011936640_6x3 ft melamine cupboard fully doors code 3050 for sale.jpg
dining table with chairs ,Table / chair,/furniture_images/1634011936797_Dining Table with Chairs for sale.jpg
italy chairs ,Table / chair,/furniture_images/1634011936987_Italy Chairs for sale.jpg
aluminium doors ,Other,/furniture_images/1634011937183_Aluminium Doors for sale.jpg
dorawal ,Other,/furniture_images/1634011937342_Dorawal for sale.jpg
awana sectional sofa - beige base and green cushions ,Sofa / living room item,/furniture_images/1634011937500_Awana Sectional Sofa  Beige Base And Green Cushions for sale.jpg
mahogani door ,Other,/furniture_images/1634011937701_Mahogani Door for sale.jpg
3 steel dining table chairs ,Table / chair,/furniture_images/1634011937875_3 Steel Dining table Chairs for sale.jpg
3 wooden chairs with woven seat ,Sofa / living room item,/furniture_images/1634011938075_3 Wooden Chairs with Woven Seat for sale.jpg
3 piece kaluwara sofa set ,Sofa / living room item,/furniture_images/1634011938249_3 Piece Kaluwara Sofa Set for sale.jpg
3 seater with 2 single ,Table / chair,/furniture_images/1634011938414_3 Seater with 2 single for sale.jpg
double layer 6*3 mattress ,Bed / bedroom item,/furniture_images/1634012031356_Double layer 63 Mattress for sale.jpg
table 3*2 ,Table / chair,/furniture_images/1634012031494_Table 32 for sale.jpg
teak cabinet ,Storage,/furniture_images/1634012032232_Teak Cabinet for sale.jpg
4 solid teak veranda chair ,Table / chair,/furniture_images/1634012032434_4 Solid Teak Veranda Chair for sale.jpg
used display cabinet ,Storage,/furniture_images/1634012032589_Used Display Cabinet for sale.jpg
dining table ,Table / chair,/furniture_images/1634012032759_Dining Table for sale.jpg
teak bed 60*75 (5*6) ,Bed / bedroom item,/furniture_images/1634012032953_Teak Bed 6075 56 for sale.jpg
used sofa set ,Sofa / living room item,/furniture_images/1634012033179_Used sofa set for sale.jpg
teak sofa set ,Table / chair,/furniture_images/1634012033376_Teak Sofa Set for sale.jpg
aktoniya double box bed 48*72(4*6) ,Bed / bedroom item,/furniture_images/1634012033540_Aktoniya Double Box Bed 487246 for sale.jpg
used teak dinning chairs and plastic ,Table / chair,/furniture_images/1634012033739_Used Teak Dinning Chairs and Plastic for sale.jpg
coffee table ,Table / chair,/furniture_images/1634012033939_Coffee Table for sale.jpg
sofa set ,Sofa / living room item,/furniture_images/1634012034093_Sofa Set for sale.jpg
mattress topper ,Bed / bedroom item,/furniture_images/1634012034257_Mattress Topper for sale.jpg
king size bed ,Bed / bedroom item,/furniture_images/1634012034425_King size bed for sale.jpg
antic house furniture's ,Antique / art,/furniture_images/1634012034613_Antic House furnitures for sale.jpg
steel table ,Table / chair,/furniture_images/1634012034777_Steel Table for sale.jpg
house furnitures ,Other,/furniture_images/1634012034964_House furnitures for sale.jpg
wall mirror ,Bed / bedroom item,/furniture_images/1634012035175_Wall Mirror for sale.jpg
corner sofa ,Sofa / living room item,/furniture_images/1634012035330_Corner Sofa for sale.jpg
teak dining table with 6 chairs ,Table / chair,/furniture_images/1634012035519_Teak dining table with 6 chairs for sale.jpg
"72"" x 9 inches mattress (spring) ",Bed / bedroom item,/furniture_images/1634012035693_72 x 9 Inches Mattress Spring for sale.jpg
antique almirah ,Antique / art,/furniture_images/1634012035883_Antique Almirah for sale.jpg
l shape sofa ,Sofa / living room item,/furniture_images/1634012036034_L Shape Sofa for sale.jpg
antique dining table ,Antique / art,/furniture_images/1634012036225_Antique Dining Table for sale.jpg
teak furnitures available  ,Bed / bedroom item,/furniture_images/1634012074097_Teak Furnitures available for sale for sale.jpg
portable folding laptop reading table ,Sofa / living room item,/furniture_images/1634012074301_Portable folding laptop reading table for sale.jpg
black and white vibrating gaming chair ,Table / chair,/furniture_images/1634012074462_Black and white vibrating gaming chair for sale.jpg
l shape sofa ,Sofa / living room item,/furniture_images/1634012074642_L Shape Sofa for sale.jpg
beanbag xl size ,Sofa / living room item,/furniture_images/1634012074848_Beanbag XL Size for sale.jpg
24â tv stand ,TV / stereo,/furniture_images/1634012075021_24â TV Stand for sale.jpg
plastic chair nilkamal mystic ,Table / chair,/furniture_images/1634012075184_Plastic Chair Nilkamal Mystic for sale.jpg
sofa bed ,Sofa / living room item,/furniture_images/1634012075334_Sofa Bed for sale.jpg
3+1+1 sofa ,Sofa / living room item,/furniture_images/1634012075514_311 Sofa for sale.jpg
3+1+1 sofa ,Sofa / living room item,/furniture_images/1634012075706_311 Sofa for sale.jpg
sofa set ,Sofa / living room item,/furniture_images/1634012075875_Sofa Set for sale.jpg
thekka almariya ,Storage,/furniture_images/1634012076075_Thekka Almariya for sale.jpg
antique pettagama ,Antique / art,/furniture_images/1634012076288_Antique Pettagama for sale.jpg
banquet table 4x4 with rexine ,Table / chair,/furniture_images/1634012076535_Banquet table 4x4 with rexine for sale.jpg
teak dining table ,Table / chair,/furniture_images/1634012076791_Teak Dining Table for sale.jpg
teak wood wardrobe ,Storage,/furniture_images/1634012076983_TEAK Wood Wardrobe for sale.jpg
banquet table 5x5 with rexine ,Table / chair,/furniture_images/1634012077183_Banquet table 5x5 with rexine for sale.jpg
modern coffee brown 3 door cupboard piyestra code 3041 ,Bed / bedroom item,/furniture_images/1634012077390_modern coffee brown 3 door cupboard piyestra code 3041 for sale.jpg
antique furniture collection ,Antique / art,/furniture_images/1634012077560_Antique Furniture Collection for sale.jpg
bunk beds ,Bed / bedroom item,/furniture_images/1634012077771_Bunk beds for sale.jpg
new melamine 6 by 4 with mirror cupboard ,Storage,/furniture_images/1634012078006_New melamine 6 by 4 with mirror cupboard for sale.jpg
new melamine 6 by 4 cupboard ,Storage,/furniture_images/1634012078172_New melamine 6 by 4 cupboard for sale.jpg
à¶à·à¶¶à·à¶±à¶§à· ,Sofa / living room item,/furniture_images/1634012078367_à¶à·à¶¶à·à¶±à¶§à· for sale.jpg
melamine 2 door new cupboard ,Storage,/furniture_images/1634012078558_Melamine 2 door new Cupboard for sale.jpg
melamine 3 door new o c cupboard ,Storage,/furniture_images/1634012078731_Melamine 3 door new o c cupboard for sale.jpg
2 door melamine o c cupboard ,Storage,/furniture_images/1634012078943_2 door melamine o c cupboard for sale.jpg
piyestra 3 fully door melamine cupboard code 3040 ,Bed / bedroom item,/furniture_images/1634012079141_piyestra 3 fully door melamine cupboard code 3040 for sale.jpg
sofa set (white wash and rustic) ,Sofa / living room item,/furniture_images/1634012113330_Sofa Set white wash and rustic for sale.jpg
3 2 1 sofa set ,Sofa / living room item,/furniture_images/1634012113534_3 2 1 Sofa Set for sale.jpg
sofa set ,Sofa / living room item,/furniture_images/1634012113855_Sofa set for sale.jpg
wardrobe ,Bed / bedroom item,/furniture_images/1634012114019_Wardrobe for sale.jpg
teak veranda chairs ,Table / chair,/furniture_images/1634012114182_Teak Veranda Chairs for sale.jpg
4*2 tables ,Table / chair,/furniture_images/1634012114318_42 tables for sale.jpg
teak wooden almari ,Storage,/furniture_images/1634012114497_Teak Wooden Almari for sale.jpg
modern branded study tabels ,Table / chair,/furniture_images/1634012114657_Modern Branded Study Tabels for sale.jpg
dining set (teak wood) ,Sofa / living room item,/furniture_images/1634012114811_Dining Set teak Wood for sale.jpg
dressing table ,Bed / bedroom item,/furniture_images/1634012114983_Dressing Table for sale.jpg
sofa set ,Sofa / living room item,/furniture_images/1634012115153_Sofa Set for sale.jpg
visitor chair armless ,Table / chair,/furniture_images/1634012115324_Visitor Chair Armless for sale.jpg
teak wooden dinning table ,Table / chair,/furniture_images/1634012115472_Teak wooden dinning table for sale.jpg
office chair new hq imported ,Table / chair,/furniture_images/1634012115631_Office Chair New HQ Imported for sale.jpg
two seater sofa ,Sofa / living room item,/furniture_images/1634012115794_Two Seater Sofa for sale.jpg
office chair new hq imported ,Table / chair,/furniture_images/1634012115949_Office Chair New HQ Imported for sale.jpg
new melamine book rack small ,Storage,/furniture_images/1634012116108_New Melamine Book Rack Small for sale.jpg
bed 6ft *3ft ,Bed / bedroom item,/furniture_images/1634012116273_Bed 6ft 3ft for sale.jpg
table ,Table / chair,/furniture_images/1634012116425_Table for sale.jpg
table ,Table / chair,/furniture_images/1634012116599_Table for sale.jpg
6ft *3ft bed with mattress. ,Bed / bedroom item,/furniture_images/1634012116778_6ft 3ft bed with mattress for sale.jpg
dining chair fg-390 ,Table / chair,/furniture_images/1634012116970_Dining Chair Fg390 for sale.jpg
table stool ,Table / chair,/furniture_images/1634012117138_Table Stool for sale.jpg
workman locker one unit ,Storage,/furniture_images/1634012117289_Workman Locker One Unit for sale.jpg
filing cabinat 4 drawer ,Storage,/furniture_images/1634012117469_Filing Cabinat 4 Drawer for sale.jpg
writing table ( 3x2 ) ne ,Table / chair,/furniture_images/1634012117644_Writing Table  3x2  NE for sale.jpg
piyestra luxerious director chairs ,Table / chair,/furniture_images/1634012153767_Piyestra Luxerious Director Chairs for sale.jpg
hospital storage cupboard ,Storage,/furniture_images/1634012154098_Hospital Storage Cupboard for sale.jpg
new writing table with rack s ,Table / chair,/furniture_images/1634012154299_New Writing Table with Rack S for sale.jpg
office cupboard (80*38.2*183.7)cm ,Storage,/furniture_images/1634012154479_Office Cupboard 803821837CM for sale.jpg
writing table ( 3x 1 1/2 ) ne ,Table / chair,/furniture_images/1634012154640_Writing Table  3x 1 12  NE for sale.jpg
office cupboard (80*37.5*183)cm ,Storage,/furniture_images/1634012154812_Office Cupboard 80375183CM for sale.jpg
sofa set with coffee table ,Sofa / living room item,/furniture_images/1634012154975_Sofa Set with Coffee Table for sale.jpg
m3 office half door cupboard with glass ,Storage,/furniture_images/1634012155126_M3 Office Half Door Cupboard With Glass for sale.jpg
sofa set ,Sofa / living room item,/furniture_images/1634012155306_Sofa Set for sale.jpg
piyestra office cupboard (80*38.2*183.7)cm ,Storage,/furniture_images/1634012155457_PIYESTRA Office Cupboard 803821837CM for sale.jpg
visitor chair with arm ,Table / chair,/furniture_images/1634012155606_Visitor Chair With Arm for sale.jpg
writing table ( 4x2 ) ne ,Table / chair,/furniture_images/1634012155770_Writing Table  4x2  NE for sale.jpg
medium back chair ( mbr 16 ) ,Table / chair,/furniture_images/1634012155942_Medium Back Chair  MBR 16  for sale.jpg
computer chair ( ccr 31 ) ,Table / chair,/furniture_images/1634012156079_Computer Chair  CCR 31  for sale.jpg
piyestra m4 office cupboard 80*37*182)cm ,Storage,/furniture_images/1634012156254_PIYESTRA M4 Office Cupboard 8037182CM for sale.jpg
piyestra m4 half door cupboard (80*37*182)cm ,Storage,/furniture_images/1634012156421_PIYESTRA M4 Half Door Cupboard 8037182CM for sale.jpg
piyestra (kingstar) m4 office cupboard (80*37*121)cm ,Storage,/furniture_images/1634012156580_Piyestra kingstar M4 Office Cupboard 8037121cm for sale.jpg
workman locker ,Storage,/furniture_images/1634012156734_Workman Locker for sale.jpg
office cupboard (80*40.5*76.5)cm ,Storage,/furniture_images/1634012156881_Office Cupboard 80405765CM for sale.jpg
computer chair ,Table / chair,/furniture_images/1634012157221_Computer Chair for sale.jpg
modern simple dressing table ,Bed / bedroom item,/furniture_images/1634012157384_Modern Simple Dressing Table for sale.jpg
piyestra lobby chair one seater ,Sofa / living room item,/furniture_images/1634012157536_Piyestra Lobby Chair One Seater for sale.jpg
new foldable tables ,Table / chair,/furniture_images/1634012157703_New Foldable Tables for sale.jpg
modern 3 door wardrobe ,Bed / bedroom item,/furniture_images/1634012157884_Modern 3 door Wardrobe for sale.jpg
piyestra ex premium visitor chair ,Table / chair,/furniture_images/1634012158050_PIYESTRA EX PREMIUM VISITOR CHAIR for sale.jpg
computer chair ,Table / chair,/furniture_images/1634012201951_Computer Chair for sale.jpg
piyestra modern fully-mirror dressing table ,Bed / bedroom item,/furniture_images/1634012202140_PIYESTRA Modern FullyMirror Dressing Table for sale.jpg
office cupboard (6x3) new ,Storage,/furniture_images/1634012202365_Office Cupboard 6x3 New for sale.jpg
dining table with four chairs ,Table / chair,/furniture_images/1634012202547_Dining Table with Four Chairs for sale.jpg
dining set (abc) ,Table / chair,/furniture_images/1634012202742_Dining set ABC for sale.jpg
à¶à¶«à·à¶«à·à¶©à· à¶¸à·à·à¶º ,Bed / bedroom item,/furniture_images/1634012202907_à¶à¶«à·à¶«à·à¶©à· à¶¸à·à·à¶º for sale.jpg
office table melamine ,Table / chair,/furniture_images/1634012203074_Office Table Melamine for sale.jpg
wardrobe ,Storage,/furniture_images/1634012203237_Wardrobe for sale.jpg
wardrobe ,Storage,/furniture_images/1634012203403_Wardrobe for sale.jpg
dining table with six chairs ,Table / chair,/furniture_images/1634012203541_Dining Table with Six Chairs for sale.jpg
2 door storage wardrobe cupboard ,Storage,/furniture_images/1634012203720_2 Door Storage Wardrobe Cupboard for sale.jpg
dining chairs ,Table / chair,/furniture_images/1634012203881_Dining Chairs for sale.jpg
mahogany sleigh bed ,Bed / bedroom item,/furniture_images/1634012204028_Mahogany sleigh Bed for sale.jpg
double bed with mattress ,Bed / bedroom item,/furniture_images/1634012204236_Double Bed with Mattress for sale.jpg
settee set ,Sofa / living room item,/furniture_images/1634012204373_Settee Set for sale.jpg
wardrobe ,Storage,/furniture_images/1634012204531_Wardrobe for sale.jpg
dinning set ,Table / chair,/furniture_images/1634012204706_Dinning Set for sale.jpg
antique reproduction table ,Antique / art,/furniture_images/1634012204862_Antique Reproduction Table for sale.jpg
wardrobe ,Storage,/furniture_images/1634012205002_Wardrobe for sale.jpg
filing rack ,Storage,/furniture_images/1634012205139_Filing Rack for sale.jpg
banquet chairs ,Table / chair,/furniture_images/1634012205293_Banquet Chairs for sale.jpg
tiffany chairs ,Table / chair,/furniture_images/1634012205464_Tiffany Chairs for sale.jpg
filing rack ,Storage,/furniture_images/1634012205606_FILING RACK for sale.jpg
carpet ,Sofa / living room item,/furniture_images/1634012205773_Carpet for sale.jpg
office table melamine ,Table / chair,/furniture_images/1634012205941_Office Table Melamine for sale.jpg
damro piyestra spring mattress 8 inch ,Bed / bedroom item,/furniture_images/1634012520587_Damro Piyestra Spring Mattress 8 Inch for sale.jpg
new office table with keyboard - tb-002 (4x2) ,Table / chair,/furniture_images/1634012520894_New office table with keyboard  TB002 4X2 for sale.jpg
